[359] URL: https://www.kernel.org | Código: 000 | Tiempo: 13ms
[358] URL: https://www.gnu.org | Código: 000 | Tiempo: 15ms
[360] URL: https://www.mozilla.org | Código: 000 | Tiempo: 12ms
[357] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 17ms
[361] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 15ms
[362] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 16ms
[363] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 15ms
[365] URL: https://www.google.com | Código: 000 | Tiempo: 16ms
[366] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 19ms
[367] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 23ms
[364] URL: https://example.com | Código: 000 | Tiempo: 29ms
[368] URL: https://www.gnu.org | Código: 000 | Tiempo: 23ms
[370] URL: https://www.mozilla.org | Código: 000 | Tiempo: 16ms
[371] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 16ms
[372] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 16ms
[373] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 18ms
[369] URL: https://www.kernel.org | Código: 000 | Tiempo: 21ms
[376] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 16ms
[377] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 20ms
[379] URL: https://www.kernel.org | Código: 000 | Tiempo: 21ms
[378] URL: https://www.gnu.org | Código: 000 | Tiempo: 20ms
[384] URL: https://example.com | Código: 000 | Tiempo: 14ms
[375] URL: https://www.google.com | Código: 000 | Tiempo: 24ms
[381] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 18ms
[374] URL: https://example.com | Código: 000 | Tiempo: 27ms
