[190] URL: https://www.mozilla.org | Código: 200 | Tiempo: 436ms
[185] URL: https://www.google.com | Código: 200 | Tiempo: 564ms
[187] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 652ms
[195] URL: https://www.google.com | Código: 200 | Tiempo: 448ms
[158] URL: https://www.gnu.org | Código: 200 | Tiempo: 1255ms
[200] URL: https://www.mozilla.org | Código: 200 | Tiempo: 332ms
[186] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 689ms
[174] URL: https://example.com | Código: 200 | Tiempo: 1123ms
[181] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 897ms
[199] URL: https://www.kernel.org | Código: 200 | Tiempo: 436ms
[183] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 859ms
[168] URL: https://www.gnu.org | Código: 200 | Tiempo: 1222ms
[182] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 885ms
[197] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 594ms
[196] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 693ms
[184] URL: https://example.com | Código: 200 | Tiempo: 1031ms
[193] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 829ms
[178] URL: https://www.gnu.org | Código: 200 | Tiempo: 1295ms
[205] URL: https://www.google.com | Código: 200 | Tiempo: 476ms
[191] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 900ms
[192] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 934ms
[209] URL: https://www.kernel.org | Código: 200 | Tiempo: 373ms
[207] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 542ms
[210] URL: https://www.mozilla.org | Código: 200 | Tiempo: 476ms
[201] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 854ms
[188] URL: https://www.gnu.org | Código: 200 | Tiempo: 1248ms
[206] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 673ms
[219] URL: https://www.kernel.org | Código: 200 | Tiempo: 331ms
[194] URL: https://example.com | Código: 200 | Tiempo: 1098ms
[220] URL: https://www.mozilla.org | Código: 200 | Tiempo: 368ms
[202] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 859ms
[203] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 875ms
[215] URL: https://www.google.com | Código: 200 | Tiempo: 498ms
[229] URL: https://www.kernel.org | Código: 200 | Tiempo: 373ms
[217] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 533ms
[204] URL: https://example.com | Código: 200 | Tiempo: 1008ms
[230] URL: https://www.mozilla.org | Código: 200 | Tiempo: 464ms
[225] URL: https://www.google.com | Código: 200 | Tiempo: 471ms
[239] URL: https://www.kernel.org | Código: 200 | Tiempo: 353ms
[211] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 879ms
[198] URL: https://www.gnu.org | Código: 200 | Tiempo: 1304ms
